"_raw","_time",action,app,bunit,bytes,"bytes_in","bytes_out",category,"change_type",city,cookie,country,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dest,"dest_asset_id","dest_asset_tag","dest_bunit","dest_category","dest_city","dest_country","dest_dns","dest_ip","dest_is_expected","dest_lat","dest_long","dest_mac","dest_nt_host","dest_owner","dest_pci_domain","dest_port","dest_priority","dest_requires_av","dest_service","dest_should_timesync","dest_should_update",dns,duration,enabled,eventtype,"form_data",host,"http_comment","http_content_length","http_content_type","http_method","http_referrer","http_user_agent","ids_type",index,ip,"is_expected",lat,linecount,long,mac,"nt_host",object,"object_category",owner,"pci_domain",priority,product,protocol,"protocol_name",punct,range,"requires_av",server,severity,"should_timesync","should_update",site,source,sourcetype,"splunk_server","splunk_server_group",src,"src_asset_id","src_asset_tag","src_bunit","src_category","src_city","src_country","src_dns","src_ip","src_is_expected","src_lat","src_long","src_mac","src_nt_host","src_owner","src_pci_domain","src_port","src_priority","src_requires_av","src_service","src_should_timesync","src_should_update",status,"status_description",tag,"tag::action","tag::app","tag::dest_requires_av","tag::dest_should_timesync","tag::dest_should_update","tag::eventtype","tag::is_expected","tag::requires_av","tag::should_timesync","tag::should_update","tag::sourcetype","tag::user_category","tag::user_identity_tag","tag::user_watchlist","threat_intel_source","time_taken",timeendpos,timestamp,timestartpos,transport,"uri_path","uri_query",url,user,"user_bunit","user_category","user_email","user_endDate","user_first","user_identity","user_identity_tag","user_last","user_managedBy","user_nick","user_phone","user_phone2","user_prefix","user_priority","user_startDate","user_suffix","user_type","user_watchlist","user_work_city","user_work_country","user_work_lat","user_work_long",vendor,"vendor_product"
"{""timestamp"":""2014-10-22T16:26:50"",""dest_ip"":""214.210.64.75"",""src_port"":5330,""dest_port"":80,""src_mac"":""00:52:59:92:3C:AA"",""dest_mac"":""00:2C:4B:A0:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 404 Not Found"",""status"":404,""src_ip"":""58.101.53.191"",""uri_path"":""/query"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""localhost:10001"",""http_user_agent"":""Python-httplib2(gzip)"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:47:26.000+0000",blocked,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,,,,,,,,,"214.210.64.75",,,,,,,,"214.210.64.75",false,,,"00:2C:4B:A0:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","127.0.0.1","HTTP/1.1 404 Not Found",,"application/json",GET,,"Python-httplib2(gzip)",,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":,"""":,"""":"":::::"","""":"":::::"",",,,"CherryPy/3.1.2 WSGI Server",,,,"localhost:10001","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"58.101.53.191",,,,,,,,"58.101.53.191",false,,,"00:52:59:92:3C:AA",,,untrust,5330,,false,,false,false,404,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,,"none
2014-10-22T16:26:50",,tcp,"/query","c=900002774","http://localhost:10001/query",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2014-10-22T16:26:50"",""dest_ip"":""214.210.64.75"",""src_port"":5330,""dest_port"":80,""src_mac"":""00:52:59:92:3C:AA"",""dest_mac"":""00:2C:4B:A0:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 404 Not Found"",""status"":404,""src_ip"":""58.101.53.191"",""uri_path"":""/query"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""localhost:10001"",""http_user_agent"":""Python-httplib2(gzip)"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:47:26.000+0000",blocked,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,,,,,,,,,"214.210.64.75",,,,,,,,"214.210.64.75",false,,,"00:2C:4B:A0:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","127.0.0.1","HTTP/1.1 404 Not Found",,"application/json",GET,,"Python-httplib2(gzip)",,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":,"""":,"""":"":::::"","""":"":::::"",",,,"CherryPy/3.1.2 WSGI Server",,,,"localhost:10001","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"58.101.53.191",,,,,,,,"58.101.53.191",false,,,"00:52:59:92:3C:AA",,,untrust,5330,,false,,false,false,404,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,,"none
2014-10-22T16:26:50",,tcp,"/query","c=900002774","http://localhost:10001/query",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:47:21    "",""dest_ip"":""127.0.0.1"",""src_port"":58617,""dest_port"":8065,""src_mac"":""00:50:57:92:3D:AB"",""dest_mac"":""00:1C:17:00:01:30"",""bytes_in"":4896,""bytes_out"":1473,""bytes"":6369,""time_taken"":96639,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 404 Not Found"",""status"":404,""src_ip"":""127.0.0.1"",""uri_path"":""/en-US/static/@231406/js/contrib/require_dev_config.js"",""site"":""sc-db-centos2.sv.splunk.com:8000"",""http_referrer"":""https://sc-db-centos2.sv.splunk.com:8000/en-US/app/SplunkEnterpriseSecuritySuite/incident_review"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0"",""http_content_type"":""text/html;charset=utf-8"",""http_content_length"":1284,""server"":""CherryPy/3.1.2"",""cookie"":""session=0454b151-81aa-4a18-8474-572618e071f4""}","2020-04-29T13:47:21.000+0000",blocked,http,,6369,4896,1473,,,,"session=0454b151-81aa-4a18-8474-572618e071f4",,13,29,47,april,21,wednesday,2020,local,"127.0.0.1",,,,,,,,"127.0.0.1",false,,,"00:1C:17:00:01:30",,,untrust,8065,,false,,false,false,,96639,,"stream_network_traffic stream_web",,"prd-p-vlsz2bsdkqf8","HTTP/1.1 404 Not Found",1284,"text/html;charset=utf-8",GET,"https://sc-db-centos2.sv.splunk.com:8000/en-US/app/SplunkEnterpriseSecuritySuite/incident_review","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0",,main,,,,1,,,,,,,,,,http,,"{"""":""--::____"","""":""..."","""":,"""":,"""":"":::::"","""":"":::",,,"CherryPy/3.1.2",,,,"sc-db-centos2.sv.splunk.com:8000","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"127.0.0.1",,,,,,,,"127.0.0.1",false,,,"00:50:57:92:3D:AB",,,untrust,58617,,false,,false,false,404,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,96639,37,"2020-04-29T13:47:21    ",14,tcp,"/en-US/static/@231406/js/contrib/require_dev_config.js",,"http://sc-db-centos2.sv.splunk.com:8000:8065/en-US/static/@231406/js/contrib/require_dev_config.js",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:47:15    "",""dest_ip"":""190.121.98.140"",""src_port"":19101,""dest_port"":80,""src_mac"":""00:50:56:94:3A:AF"",""dest_mac"":""00:3C:17:00:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 200 OK"",""status"":200,""src_ip"":""85.61.121.139"",""uri_path"":""/jargon/a/absopath.htm"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""www.readvegavulcan.com"",""http_user_agent"":""Python-httplib2/0.7.0 (gzip)"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}","2020-04-29T13:47:15.000+0000",allowed,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,13,29,47,april,15,wednesday,2020,local,"190.121.98.140",,,,,,,,"190.121.98.140",false,,,"00:3C:17:00:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","prd-p-vlsz2bsdkqf8","HTTP/1.1 200 OK",,"application/json",GET,,"Python-httplib2/0.7.0 (gzip)",,main,,,,1,,,,,,,,,,http,,"{"""":""--::____"","""":""..."","""":,"""":,"""":"":::::"","""":"":::",,,"CherryPy/3.1.2 WSGI Server",,,,"www.readvegavulcan.com","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"85.61.121.139",,,,,,,,"85.61.121.139",false,,,"00:50:56:94:3A:AF",,,untrust,19101,,false,,false,false,200,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,37,"2020-04-29T13:47:15    ",14,tcp,"/jargon/a/absopath.htm","c=900002774","http://www.readvegavulcan.com/jargon/a/absopath.htm",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:47:11    "",""dest_ip"":""130.74.42.93"",""src_port"":27890,""dest_port"":9080,""src_mac"":""00:50:56:93:3C:AA"",""dest_mac"":""00:1B:17:42:01:30"",""bytes_in"":280,""bytes_out"":367,""bytes"":647,""time_taken"":66568,""transport"":""tcp"",""http_method"":""POST"",""http_comment"":""HTTP/1.1 200 OK"",""status"":200,""src_ip"":""126.127.217.158"",""uri_path"":""/its/webDtParentPaths.htm"",""site"":""collected.jcu.edu"",""http_user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}","2020-04-29T13:47:11.000+0000",allowed,http,,647,280,367,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,13,29,47,april,11,wednesday,2020,local,"130.74.42.93",,,,,,,,"130.74.42.93",false,,,"00:1B:17:42:01:30",,,untrust,9080,,false,,false,false,,66568,,"stream_network_traffic stream_web",,"prd-p-vlsz2bsdkqf8","HTTP/1.1 200 OK",,"application/json",POST,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36",,main,,,,1,,,,,,,,,,http,,"{"""":""--::____"","""":""..."","""":,"""":,"""":"":::::"","""":"":::",,,"CherryPy/3.1.2 WSGI Server",,,,"collected.jcu.edu","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"126.127.217.158",,,,,,,,"126.127.217.158",false,,,"00:50:56:93:3C:AA",,,untrust,27890,,false,,false,false,200,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,66568,37,"2020-04-29T13:47:11    ",14,tcp,"/its/webDtParentPaths.htm",,"http://collected.jcu.edu:9080/its/webDtParentPaths.htm",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:47:03"",""dest_ip"":""210.17.158.14"",""src_port"":""59913"",""dest_port"":80,""src_mac"":""00:50:56:94:3A:AF"",""dest_mac"":""00:3C:17:00:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 200 OK"",""status"":200,""src_ip"":""196.146.85.228"",""uri_path"":""/projects/paths.html"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""www.civiljustice.info"",""http_user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:47:03.000+0000",allowed,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,,,,,,,,,"210.17.158.14",,,,,,,,"210.17.158.14",false,,,"00:3C:17:00:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","127.0.0.1","HTTP/1.1 200 OK",,"application/json",GET,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0",,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":"""","""":,"""":"":::::"","""":"":::::",,,"CherryPy/3.1.2 WSGI Server",,,,"www.civiljustice.info","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"196.146.85.228",,,,,,,,"196.146.85.228",false,,,"00:50:56:94:3A:AF",,,untrust,59913,,false,,false,false,200,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,,"none
2020-04-29T13:47:03",,tcp,"/projects/paths.html","c=900002774","http://www.civiljustice.info/projects/paths.html",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:47:02"",""dest_ip"":""181.92.201.164"",""src_port"":""5246"",""dest_port"":80,""src_mac"":""00:50:56:94:3A:AF"",""dest_mac"":""00:3C:17:00:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 200 OK"",""status"":200,""src_ip"":""197.33.192.24"",""uri_path"":""/webservices/jax-rs/jax-rs-path-uri-matching-example/"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""www.newtimesrocks.com"",""http_user_agent"":""Python-httplib2/0.7.0 (gzip)"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:47:02.000+0000",allowed,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,,,,,,,,,"181.92.201.164",,,,,,,,"181.92.201.164",false,,,"00:3C:17:00:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","127.0.0.1","HTTP/1.1 200 OK",,"application/json",GET,,"Python-httplib2/0.7.0 (gzip)",,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":"""","""":,"""":"":::::"","""":"":::::",,,"CherryPy/3.1.2 WSGI Server",,,,"www.newtimesrocks.com","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"197.33.192.24",,,,,,,,"197.33.192.24",false,,,"00:50:56:94:3A:AF",,,untrust,5246,,false,,false,false,200,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,,"none
2020-04-29T13:47:02",,tcp,"/webservices/jax-rs/jax-rs-path-uri-matching-example/","c=900002774","http://www.newtimesrocks.com/webservices/jax-rs/jax-rs-path-uri-matching-example/",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:47:00"",""dest_ip"":""30.174.36.248"",""src_port"":""14975"",""dest_port"":80,""src_mac"":""00:50:56:94:3A:AF"",""dest_mac"":""00:3C:17:00:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 200 OK"",""status"":200,""src_ip"":""239.255.65.20"",""uri_path"":""/webservices/jax-rs/jax-rs-path-uri-matching-example/"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""www.readvegavulcan.com"",""http_user_agent"":""Python-httplib2/0.7.0 (gzip)"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:47:00.000+0000",allowed,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,,,,,,,,,"30.174.36.248",,,,,,,,"30.174.36.248",false,,,"00:3C:17:00:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","127.0.0.1","HTTP/1.1 200 OK",,"application/json",GET,,"Python-httplib2/0.7.0 (gzip)",,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":"""","""":,"""":"":::::"","""":"":::::",,,"CherryPy/3.1.2 WSGI Server",,,,"www.readvegavulcan.com","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"239.255.65.20",,,,,,,,"239.255.65.20",false,,,"00:50:56:94:3A:AF",,,untrust,14975,,false,,false,false,200,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,,"none
2020-04-29T13:47:00",,tcp,"/webservices/jax-rs/jax-rs-path-uri-matching-example/","c=900002774","http://www.readvegavulcan.com/webservices/jax-rs/jax-rs-path-uri-matching-example/",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:46:58"",""dest_ip"":""134.128.122.61"",""src_port"":""5694"",""dest_port"":80,""src_mac"":""00:50:56:94:3A:AF"",""dest_mac"":""00:3C:17:00:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 200 OK"",""status"":200,""src_ip"":""130.48.146.134"",""uri_path"":""/webservices/jax-rs/jax-rs-path-uri-matching-example/"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""Simplyhired.com"",""http_user_agent"":""Mozilla/5.0 (X11; U; Linux i686; fr-fr) AppleWebKit/525.1+ (KHTML, like Gecko, Safari/525.1+) midori/1.19"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:46:58.000+0000",allowed,http,,2273,214,2059,,,,"session=0329b232-81aa-4a18-8474-572618e071f4
session=0329b232-81aa-4a18-8474-572618e071f4",,,,,,,,,,"134.128.122.61",,,,,,,,"134.128.122.61",false,,,"00:3C:17:00:01:30",,,untrust,80,,false,,false,false,,204997,,"stream_network_traffic stream_web","c=900002774","127.0.0.1","HTTP/1.1 200 OK",,"application/json",GET,,"Mozilla/5.0 (X11; U; Linux i686; fr-fr) AppleWebKit/525.1+ (KHTML, like Gecko, Safari/525.1+) midori/1.19",,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":"""","""":,"""":"":::::"","""":"":::::",,,"CherryPy/3.1.2 WSGI Server",,,,"Simplyhired.com","stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"130.48.146.134",,,,,,,,"130.48.146.134",false,,,"00:50:56:94:3A:AF",,,untrust,5694,,false,,false,false,200,,"communicate
network
web",,,,,,"communicate
network
web",,,,,,,,,,204997,,"none
2020-04-29T13:46:58",,tcp,"/webservices/jax-rs/jax-rs-path-uri-matching-example/","c=900002774","http://Simplyhired.com/webservices/jax-rs/jax-rs-path-uri-matching-example/",,,,,,,,,,,,,,,,,,,,,,,,,
"{""timestamp"":""2020-04-29T13:46:45"",""dest_ip"":""214.210.64.75"",""src_port"":""""26982"""",""dest_port"":80,""src_mac"":""00:50:23:65:5D:A4"",""dest_mac"":""00:2C:4B:A0:01:30"",""bytes_in"":214,""bytes_out"":2059,""bytes"":2273,""time_taken"":204997,""transport"":""tcp"",""http_method"":""GET"",""http_comment"":""HTTP/1.1 500 Internal Server Error"",""status"":500,""src_ip"":""239.218.210.108"",""uri_path"":""/customer/query"",""uri_query"":""c=900002774"",""form_data"":""c=900002774"",""site"":""localhost:10001"",""http_user_agent"":""Python-httplib2/0.7.0 (gzip)"",""http_content_type"":""application/json"",""server"":""CherryPy/3.1.2 WSGI Server"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4"",""cookie"":""session=0329b232-81aa-4a18-8474-572618e071f4""}
","2020-04-29T13:46:45.000+0000",,http,,,,,,,,,,,,,,,,,,"214.210.64.75",,,,,,,,"214.210.64.75",false,,,,,,untrust,,,false,,false,false,,,,"err0r nix_errors stream_network_traffic",,"127.0.0.1",,,,,,,,main,,,,2,,,,,,,,,,http,,"{"""":""--::"","""":""..."","""":"""""""","""":,"""":"":::::"","""":"":::",,,,,,,,"stream:sample","stream:http","prd-p-vlsz2bsdkqf8",,"239.218.210.108",,,,,,,,,false,,,,,,untrust,"",,false,,false,false,,,"communicate
error
network",,,,,,"communicate
error
network",,,,,,,,,,,,"none
2020-04-29T13:46:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
